"id","estimate_id","pass","description","price"
438,280,,"Labor on transmission filter kit",35.00
439,281,,"Tune up labor",55.00
440,282,,"Install rotors",110.00
441,282,,,
442,282,,,
443,282,,,
444,283,,"Install own bushings",25.00
445,284,,"Install wires",55.00
446,285,,"Install own used motor",400.00
447,286,,"Labor on bearings and seals",60.50
448,287,,"Labor on brakes and rotors",88.00
449,288,,,
450,289,,"Lube",6.00
451,289,,"Rotate tires",10.00
452,290,,,0.00
453,288,,,
454,291,,"Install own brakes",55.00
455,292,,"Repair connections at positive battery cable",27.50
456,293,,"Rotate tires",10.00
457,294,,"Install own motor",605.00
458,272,,,
459,295,,"Install power steering pittman shaft seal",55.00
460,295,,"Install wiper pulse module",27.50
461,296,,"Wheel alignment",39.95
462,297,,"Charge air conditioner",30.00
463,297,,"Install two rotors",82.50
464,297,,,
465,285,,,
466,285,,,
467,298,,"Labor on head gasket set",390.50
468,298,,"Repair left front tire",10.00
469,299,,"Install right axle, power steering hose and lower control arm",275.00
470,300,,"Install used transmission",275.00
471,300,,"Lubrication",0.00
472,301,,"Diagnostics",27.50
473,301,,"Install manifold set and fuel injector",165.00
474,302,,"Install radiator",110.00
475,303,,"Scan computer and install sensors",82.50
476,304,,"Labor on pump and belt",110.00
477,305,,"Install front brakes",82.50
478,305,,"Scan computer and install fuel filter",27.50
479,306,,"Balance due on invoice #161",0.00
480,306,,,
481,307,,,
482,307,,,
483,307,,,
484,307,,,
485,307,,,
486,307,,,
487,298,,,
488,298,,,
489,308,,,
490,308,,,
491,308,,,
492,309,,,
493,309,,,
494,309,,,
495,309,,,
496,310,,"Install regulator",27.50
497,311,,,0.00
498,312,,"Scan computer",27.50
499,312,,"Install thermostat",27.50
500,313,,"Install head and valve cover gasket",275.00
501,313,,"Install radiator",55.00
502,314,,"Install belts",27.50
503,315,,"Perform Diagnostics test on car",27.50
504,316,,"Repair hose",20.00
505,317,,"Install own left front axle bearing",82.50
506,318,,"Install cable",20.00
507,319,,"Diagnostics",27.50
508,319,,"Install manifold set",132.00
509,320,,"Replace front brake pads",38.50
510,321,,,0.00
511,322,,"Change own oil",10.00
512,323,,"Wheel alignment",39.95
513,324,,"Install own left rear bearing and hub assembly",55.00
514,325,,"Install own right front hub assembly",110.00
515,325,,,
516,325,,,
517,326,,"Install rear brake pads and two rotors",82.50
518,325,,,
519,327,,"Scan computer and install own throttle",82.50
520,328,,,
521,329,,"Labor on air conditioning",110.00
522,329,,"Labor on thermostat",27.50
523,329,,"Labor on shocks",40.00
524,329,,"Install plugs and fuel filter kit",27.50
525,329,,"Labor on transmission filter",35.00
526,329,,"Grease",6.00
527,330,,"Wheel alignment",39.95
528,331,,,0.00
529,331,,,
530,332,,"Lube",6.00
531,333,,,
532,333,,,
533,334,,"Charge air conditioner",30.00
534,335,,"Install brakes",55.00
535,335,,"Change own oil",5.00
536,335,,"Lube",6.00
537,336,,"Charge air conditioner",30.00
538,336,,"Rotate tires",10.00
539,336,,"Install thermostat",35.00
540,336,,"Flush antifreeze",15.00
541,337,,"Pressure test cooling system and tighten hoses",20.00
542,338,,"Wheel alignment",39.95
543,338,,"Rotate tires",10.00
544,339,,,
545,337,,,
546,337,,,
547,340,,"Labor on oil pan",297.00
548,340,,"Labor on transmission seal",35.00
549,341,,"Install starter",55.00
550,341,,"Towing",45.00
551,342,,"Install both axles",115.00
552,339,,,
553,331,,,
554,342,,,
555,343,,"Install own washer pump",27.50
556,344,,"Install own rebuilt engine",750.00
557,344,,"Install used rear end",165.00
558,345,,"Repair electrical shortage",55.00
559,328,,,
560,346,,"Install steering gear box",110.00
561,347,,"Labor on front brakes and rear brakes and rotors",110.00
562,348,,"Scan computer and install valve",82.50
563,349,,,0.00
564,349,,,
565,350,,"Install water pump",82.50
566,351,,"Install muffler and pipes",55.00
567,351,,"Diagnostics Fee",27.50
