"id","estimate_id","quantity","mfr_no","part_no","description","cost","price","pass2"
31901,15078,1,,,"Oil filter",1.79,8.00,0
31902,15079,1,,,"Oil filter",1.79,8.00,0
31903,15080,1,,,"Oil filter",1.79,8.00,0
31904,15081,1,,,"Brake light switch",9.00,15.78,0
31905,15080,,,,,,,0
31906,15082,0,,,,0.00,0.00,0
31907,15020,1,,,"Belt tensioner and idler pulley",62.74,106.90,0
31908,15020,1,,,"Multifunction switch",74.98,121.42,0
31909,15020,1,,,"Oil filter",1.79,8.00,0
31910,15020,,,,,,,0
31911,15020,,,,,,,0
31912,15083,1,,,"Serpentine belt component kit",148.00,260.00,0
31913,15084,1,,,"Oil filter",1.79,8.00,0
31914,4184,,,,,,,0
31915,15085,1,,,"Oil filter",1.79,8.00,0
31916,15085,1,,,"Passenger side headlight",5.00,8.78,0
31917,15086,1,,,"Oil filter",1.79,8.00,0
31918,15087,1,,,"Oil filter",1.79,8.00,0
31919,15087,1,,,"Air filter",8.66,15.24,0
31920,15087,1,,,"Front brake pads and rotors",67.67,118.91,0
31921,15087,0,,,"0",,0.00,0
31922,15083,1,,,"Transmission shift solenoid",115.90,204.00,0
31923,15088,1,,,"Radiator",74.00,128.50,0
31924,15088,1,,,"Antifreeze",15.00,20.00,0
31925,15089,0,,,,,0.00,0
31926,15088,1,,,"Lower radiator hose",12.00,20.00,0
31927,15087,,,,,,,0
31928,10924,,,,,,,0
31929,15090,1,,,"Oil filter",1.79,8.00,0
31930,15043,,,,,,,0
31931,15091,1,,,"Rear brake shoes",17.00,29.57,0
31932,15092,0,,,"0",,0.00,0
31933,15093,0,,,,0.00,0.00,0
31934,15094,0,,,,0.00,0.00,0
31935,15095,0,,,,0.00,0.00,0
31936,12256,,,,,,,0
31937,15096,1,,,"Two lower ball joints assembly",768.44,1024.44,0
31938,15097,0,,,,0.00,0.00,0
31939,15098,1,,,"Timing belt",39.28,69.14,0
31940,15098,1,,,"Water pump",49.87,87.77,0
31941,15098,1,,,"Antifreeze",15.00,25.00,0
31942,15099,1,,,"Oil filter",1.79,8.00,0
31943,15100,1,,,"Ignition coil",59.09,99.95,0
31944,15101,1,,,"Throttle body gasket",5.78,10.76,0
31945,15101,1,,,"Idle air control motor",51.78,91.16,0
31946,15101,1,,,"Throttle position sensor connector",11.85,16.00,0
31947,15101,1,,,"Oil filter",1.79,8.00,0
31948,15192,1,,,"Front brake pads and rotors",91.43,160.92,0
31949,15193,1,,,"Oil filter",1.79,8.00,0
31950,15194,1,,,"Grease for rear end",3.00,5.00,0
31951,15194,1,,,"Wiper blades",8.00,14.00,0
