id,customer_id,make,model,year,engine,drive_type,fleet_no
307,269,"Buick","Regal","1999",,,
308,270,"Dodge","Dakota Sport","1997",,,
309,22,"Ford","Mustang",,,,
310,271,"Chevy","1500 Silverado","1995","5.0",,
311,113,"Dodge","Neon","2001",,,
312,272,"Mercury","Grand Marquis","1990",,,
313,130,"Dodge","Ram","2001","3.9",,
314,233,,,,,,
315,233,,,,,,
316,22,,,,,,
317,158,,,,,,
318,273,"Chevy","Beretta","1994",,,
319,274,,,,,,
320,25,,,,,,
321,275,"Toyota","Camry","1991",,,
322,154,,,,,,
323,117,"Chevy","Uplander","2007","V6",,
324,223,"Lincoln","Aviator","2004","4.6",,
325,276,"Ford","Windstar","1999",,,
326,277,"Dodge","Caravan","1993",,,
327,278,"Mercury","Topaz","1993",,,
328,113,,,,,,
329,279,"Chevy","Cavalier","1992",,,
330,76,"Chevy","Suburban","1988",,,
331,280,,"Honda",,,,
332,281,"Buick",,"1986",,,
334,282,"GMC","Safari","1990",,,
335,79,"Ford","Mustang","1998",,,
336,146,,,,,,
337,284,"Pontiac","Grand Am","1999",,,
338,236,"Honda","Accord LX","1990",,,
339,87,"Dodge"," Dakoka","2002",,,
340,19,,,,,,
341,69,,,,,,
342,245,"Pontiac","Grand Am","1992",,,
343,236,,,,,,
344,285,"Mercury","Grand Marquis","1994",,,
345,286,"Mitsubishi","Diamante","1994",,,
346,287,"Cadillac","Deville","1991",,,
347,288,"Cadillac","Deville","1991",,,
348,289,"Toyota","Corolla","2002",,,
349,220,"Ford","Taurus",,,,
350,290,"Dodge","Caravan","1998",,,
351,255,,,,,,
352,55,"Dodge","Dakota Sport","1999","3.9",,
353,230,,,,,,
354,93,,,,,,
355,93,,,,,,
356,292,"Ford","F150","1985",,,
357,55,"Dodge","Intrepid","1994","3.3",,
358,293,"Chrysler","New Yorker","1989",,,
359,146,"Buick","Regal","1999",,,
360,146,,,,,,
361,295,"Chevy","Cavalier","2002",,,
362,22,,,,,,
363,183,,,,,,
364,224,,,,,,
365,92,,,,,,
366,212,,,,,,
367,150,,,,,,
368,296,"Chrysler","New Yorker","1993",,,
369,73,,,,,,
370,232,,,,,,
371,69,,,,,,
372,297,"Buick","Century","1994",,,
373,240,,,,,,
374,298,"Pontiac","Grand Am","1995",,,
375,264,,,,,,
376,100,,,,,,
377,286,,,,,,
378,45,"Ford","F150","1989",,,
379,299,"Oldsmobile","Cutlass Ciera","1988",,,
380,300,"Chateau",,"2004",,,
381,300,"Chevy","1500 Series","1998",,,
382,301,"Ford","Escape","2004",,,
383,302,"Olds","Cutlass","1986",,,
384,19,,,,,,
385,303,"Plymouth","Neon","1998",,,
386,304,"GMC","Van","`1995",,,
387,305,"Dodge","Durango","1998",,,
388,306,"Dodge","Durango","1998",,,
389,307,"Ford","Tempo","1994",,,
390,183,,,,,,
391,232,"Chevy","Astro Van","1996",,,
392,147,"Ford","Truck","1969",,,
393,84,,,,,,
394,309,"Ford","Escort","1999",,,
395,32,,,,,,
396,305,,,,,,
397,265,,,,,,
398,40,"Ford","Thunderbird","1986",,,
399,310,"Dodge","Intrepid","1998",,,
400,311,"Chevy","Monte Carlo","1987",,,
401,258,,,,,,
402,153,,,,,,
403,229,,,,,,
404,309,"GMC","Truck","1995",,,
405,312,"GMC","Truck","1995",,,
406,260,,,,,,
407,313,"Cadillac","Deville","1990",,,
408,304,,,,,,
409,314,"Mazda","626","2001",,,
410,69,,,,,,
411,18,,,,,,
412,61,,,,,,
413,262,,,,,,
414,315,"Ford","Truck","1993",,,
415,15,,,,,,
416,316,"KIA",,"2001",,,
417,67,,,,,,
418,44,,,,,,
419,311,"Buick","Regal","1984",,,
420,317,"Isuzu","Truck","1992",,,
421,4752,".",".",".",".",".",
422,318,"Ford","E050 Van 4.6 SOHC","1998",,,
423,30,"Toyota","4Runner","1994",,,
424,268,,,,,,
425,197,,,,,,
426,1978,"Mitsibishi","Eclipse","2001",,,
427,320,"Buick","Century","1999",,,
428,321,"GMC","Truck","1992",,,
429,15,"Pontiac","Grand Am","1993",,,
430,202,,,,,,
431,257,,,,,,
